crime_type,hour,day_of_week,is_weekend,zone_id,crime_count_last_7d,latitude,longitude,incident_risk
11,2,2,0,14,17,18.90868475553906,72.86192577897904,1
0,21,4,0,7,12,19.025837491279017,72.823578510851,1
5,18,6,1,3,3,18.94694389325545,72.97440505129933,0
10,12,3,0,25,10,18.895598405029965,72.78619115818387,1
2,21,5,1,26,10,18.938824740226636,72.87757023943848,1
4,19,4,0,4,6,19.26236753158213,72.84279334347548,0
3,19,3,0,8,15,19.273605265284186,72.83768108756375,1
3,18,4,0,31,5,19.016154841701802,72.88828152146952,1
8,16,4,0,1,19,18.94733478236765,72.82938148533351,1
2,21,1,0,31,14,19.163605489714815,72.81543418505437,1
11,20,3,0,10,3,19.10308353050002,72.8494554078061,0
1,22,3,0,18,18,19.192955331784034,72.92691558462428,1
7,9,0,0,23,8,19.128264191929834,72.8202624215645,0
11,4,0,0,4,2,19.097209833583065,72.82554994722064,0
10,21,4,0,14,11,19.227987663859075,72.80613046876469,1
6,23,4,0,16,12,19.152302357184194,72.87335641544624,1
5,18,2,0,18,6,19.08516096645888,72.79873448414118,0
6,21,3,0,5,15,19.088977658162186,72.89254233980446,1
10,10,0,0,18,14,19.110911611693254,72.95311542912492,1
10,17,3,0,18,7,19.12084679414191,72.8982813518845,0
2,23,6,1,8,17,18.903788627546913,72.78063356971614,1
0,20,2,0,30,13,19.233385905194424,72.86966381107389,1
6,23,1,0,31,3,19.25170295920289,72.78610989141868,1
5,19,1,0,31,2,18.999758235348672,72.8517431050834,0
8,23,2,0,23,3,19.09143124388888,72.93867880286108,0
2,21,1,0,16,3,18.91592486171311,72.78046350958097,0
0,23,0,0,4,8,19.17619045278141,72.80857005746017,0
7,8,3,0,31,3,19.203673268455614,72.9568848551004,0
1,22,6,1,8,4,19.16925979458585,72.8360668921583,1
5,20,2,0,7,13,18.924399239516525,72.94164704200185,1
1,20,4,0,18,8,19.0890306397347,72.83991313559078,1
0,22,1,0,9,2,18.976892487129827,72.87565197683905,0
1,21,4,0,23,7,18.998116197619176,72.82647686461121,1
2,23,6,1,13,7,18.940931835785815,72.83323360250311,1
4,18,0,0,8,19,18.96770958476955,72.78673383564278,1
4,20,0,0,24,10,18.929168271386153,72.95773181605308,1
9,3,5,1,19,18,19.13483633483236,72.88525569206764,1
